ICAO,IATA,COUNTRY,STATE,CITY,CITY_COMPLETE,SYNOP,LAT,LAT_NUM,LONG,LONG_NUM,ELEV,STATUS,Registered
MMEP,TPQ,Mexico,Nayarit,TEPIC,TEPIC,76556,21 25N,21.4167,104 51W,-104.85,922,ONLINE,0
MMTJ,TIJ,Mexico,Baja California,TIJUANA,TIJUANA INTL ARP,NaN,32 32N,32.5333,116 58W,-116.9667,152,ONLINE,0
MMTO,TLC,Mexico,Mexico,TOLUCA,TOLUCA/JOSE MARI,NaN,19 21N,19.35,099 34W,-99.5667,2576,ONLINE,1
MMTC,TRC,Mexico,Coahuila,TORREON,TORREON AIRPORT,76382,25 34N,25.5667,103 24W,-103.4,1124,ONLINE,0
MMTL,TCG,Mexico,Hidalgo,TULANCINGO,TULANCINGO,76634,20 04N,20.0667,098 22W,-98.3667,2181,OFFLINE,0
MMTB,TGM,Mexico,Chiapas,TUXTLA GUTIERREZ,TUXTLA GUTIERREZ,NaN,16 44N,16.7333,093 10W,-93.1667,528,OFFLINE,0
MMTG,TGZ,Mexico,Chiapas,TUXTLA GUTIERREZ,TUXTLA GUTIERREZ,76843,16 34N,16.5667,093 02W,-93.0333,528,OFFLINE,0
MMPN,UPN,Mexico,Michoacan,URUAPAN,URUAPAN/GEN RAYO,NaN,19 23N,19.3833,102 01W,-102.0167,1593,ONLINE,0
MMVR,MMVR,Mexico,Veracruz,VERACRUZ,VERACRUZ,76692,19 09N,19.15,096 11W,-96.1833,16,ONLINE,0
MMVA,MMVA,Mexico,Tabasco,VILLAHERMOSA,VILLAHERMOSA,76743,18 00N,18,092 49W,-92.8167,13,ONLINE,0
MMZC,MMZC,Mexico,Zacatecas,ZACATECAS,ZACATECAS ARPT,76526,22 54N,22.9,102 41W,-102.6833,2177,ONLINE,0
